Customer ID,Location,Platform,Rating,Review Text,Sentiment
CUST1000,Goa,App,2,stay room trip stay poor bad stay hotel location not recommended terrible poor terrible terrible not recommended bad stay room poor trip bad experience room experience service service not recommended terrible hotel terrible location poor not recommended bad stay location hotel trip stay poor trip bad poor poor stay service stay hotel hotel poor terrible location room service stay terrible hotel location poor not recommended location poor trip trip service not recommended service terrible location location experience bad poor poor trip poor experience experience room location location trip service poor trip poor bad hotel bad experience stay experience terrible hotel trip not recommended service not recommended terrible trip poor room terrible room poor location location trip service hotel stay stay service bad hotel experience,Negative
CUST1001,Goa,App,4,recommended recommended room trip recommended recommended trip stay great service trip trip service location service experience pleasant hotel service stay trip stay stay enjoyable trip location hotel experience hotel enjoyable great service enjoyable service stay service service location recommended trip pleasant recommended recommended great service service stay room room enjoyable hotel recommended recommended recommended enjoyable enjoyable location location experience experience hotel room great service recommended enjoyable pleasant enjoyable room recommended pleasant trip trip recommended,Positive
CUST1002,Goa,App,1,hotel hotel service stay hotel stay experience poor not recommended not recommended not recommended hotel stay stay hotel not recommended not recommended trip poor poor service room hotel stay not recommended poor not recommended terrible location not recommended not recommended service experience stay not recommended terrible poor room poor location poor not recommended hotel hotel room experience trip terrible trip not recommended poor experience poor trip poor poor terrible room not recommended not recommended poor terrible trip room experience experience service terrible location poor stay not recommended poor trip poor hotel stay experience poor not recommended,Negative
CUST1003,Mumbai,Web,5,amazing room hotel hotel experience fantastic stay experience experience trip experience pleasant pleasant service pleasant service amazing location fantastic fantastic location trip pleasant experience pleasant amazing service recommended pleasant amazing pleasant experience amazing amazing room recommended amazing fantastic experience location hotel room amazing service recommended amazing stay stay stay pleasant amazing trip amazing pleasant room amazing amazing amazing recommended amazing recommended pleasant trip pleasant amazing hotel pleasant location trip hotel room room recommended amazing amazing trip trip hotel hotel amazing pleasant trip recommended stay pleasant pleasant location hotel amazing trip pleasant location amazing recommended pleasant recommended location pleasant room service amazing recommended pleasant fantastic experience location pleasant stay stay fantastic trip hotel experience service amazing recommended location trip hotel recommended service room location recommended recommended room stay experience trip location amazing experience location pleasant service room pleasant pleasant amazing location service service trip experience fantastic service pleasant recommended fantastic trip recommended room room amazing hotel recommended trip pleasant fantastic amazing fantastic hotel experience,Positive
CUST1004,Goa,App,4,experience stay hotel room fantastic room fantastic amazing fantastic stay experience fantastic room location hotel great service amazing trip service trip great service room trip trip great service amazing great service fantastic stay stay trip room amazing fantastic great service great service stay experience room service fantastic location amazing trip fantastic service great service experience great service hotel amazing service hotel hotel great service trip great service amazing great service great service location great service fantastic great service amazing fantastic amazing amazing great service trip fantastic trip amazing hotel experience stay room great service trip fantastic experience fantastic room hotel great service hotel experience fantastic stay fantastic location fantastic stay trip hotel great service hotel great service service great service location amazing amazing great service location amazing stay amazing experience fantastic experience amazing amazing great service fantastic room great service fantastic experience hotel stay great service trip trip great service amazing hotel service location hotel stay amazing location stay fantastic fantastic great service room great service service room hotel hotel room hotel room trip great service service fantastic fantastic experience room amazing hotel great service service location amazing amazing stay location amazing location stay fantastic experience amazing service service room great service stay hotel trip room great service experience great service hotel experience service great service fantastic location fantastic stay great service location stay fantastic great service trip fantastic service,Positive
CUST1005,Goa,App,3,decent service decent decent trip hotel service average hotel location decent decent average average service decent moderate room hotel trip moderate room hotel average moderate decent trip decent average experience trip room location decent moderate average room stay room hotel average location experience service decent moderate service average experience service room hotel stay decent location moderate moderate decent location room average service stay room average stay average experience decent moderate location room stay trip stay stay location decent location location experience service moderate stay moderate moderate trip moderate trip moderate stay decent,Neutral
CUST1006,Goa,Web,5,experience fantastic location fantastic service stay amazing fantastic location stay amazing fantastic fantastic fantastic fantastic room trip fantastic room room room experience room hotel fantastic trip service hotel service fantastic room great service amazing trip room room pleasant hotel pleasant stay amazing location experience pleasant pleasant pleasant service pleasant service fantastic pleasant great service fantastic room pleasant pleasant location fantastic pleasant pleasant room fantastic trip amazing fantastic fantastic fantastic room fantastic hotel amazing fantastic trip amazing trip stay great service experience room fantastic fantastic service pleasant hotel experience stay pleasant service fantastic fantastic room pleasant hotel great service fantastic service stay fantastic stay fantastic fantastic room experience amazing location fantastic stay trip fantastic service location fantastic stay amazing stay service service stay trip location amazing pleasant great service pleasant amazing amazing pleasant trip hotel experience service room trip experience service amazing amazing room hotel fantastic location fantastic trip hotel,Positive
CUST1007,Jaipur,App,2,service location experience terrible unpleasant bad service terrible unpleasant room room hotel experience room trip unpleasant service service experience experience bad location service hotel experience terrible stay stay unpleasant unpleasant trip unpleasant service terrible experience experience terrible trip terrible unpleasant bad bad hotel stay location service unpleasant location location service hotel bad stay stay stay experience stay location unpleasant stay unpleasant experience room stay hotel hotel hotel terrible unpleasant service service bad unpleasant unpleasant bad experience bad room terrible service terrible terrible bad trip bad unpleasant hotel stay room terrible service terrible unpleasant unpleasant terrible trip bad room terrible hotel hotel hotel trip stay hotel stay trip unpleasant terrible room bad unpleasant location terrible stay terrible trip hotel unpleasant terrible terrible hotel service unpleasant experience hotel service trip service experience stay bad location service service room unpleasant unpleasant terrible experience stay experience unpleasant location stay hotel bad terrible service location stay bad trip trip stay location unpleasant hotel trip stay experience bad unpleasant trip experience location bad terrible experience location stay hotel,Negative
CUST1008,Goa,App,3,moderate moderate hotel service moderate trip trip experience service moderate stay moderate location service moderate moderate acceptable room room stay acceptable room service moderate location service location moderate room service moderate acceptable moderate experience moderate experience moderate location hotel experience hotel experience moderate experience trip trip moderate location acceptable acceptable moderate acceptable room moderate service moderate service moderate location trip moderate moderate service hotel stay service experience acceptable moderate service acceptable moderate trip moderate room acceptable hotel hotel moderate experience moderate trip moderate room stay moderate moderate acceptable room trip hotel moderate stay hotel moderate moderate room room trip moderate stay acceptable moderate moderate acceptable,Neutral
CUST1009,Bangalore,Web,4,pleasant hotel pleasant hotel trip recommended pleasant location pleasant fantastic room location pleasant trip room pleasant pleasant fantastic amazing pleasant hotel fantastic pleasant stay pleasant stay fantastic fantastic room amazing hotel fantastic room service trip experience stay pleasant service experience service stay hotel amazing pleasant pleasant stay service amazing experience pleasant stay pleasant pleasant fantastic pleasant amazing experience location service service pleasant service,Positive
